# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,2.868104774257736926e-04,0.000000000000000000e+00
1.920141938638801224e-14,2.868109515627523948e-04,0.000000000000000000e+00
3.686945064519573717e-14,2.868109393981098918e-04,0.000000000000000000e+00
7.079457843841372988e-14,2.868181671120885348e-04,0.000000000000000000e+00
1.359356390878524054e-13,2.869019364202736759e-04,0.000000000000000000e+00
2.610157215682533043e-13,2.869020261569405037e-04,0.000000000000000000e+00
5.011872336272714655e-13,2.868183915090457680e-04,0.000000000000000000e+00
9.623506263980907267e-13,2.868112474590946539e-04,0.000000000000000000e+00
1.847849797422287039e-12,2.868099227428333800e-04,0.000000000000000000e+00
3.548133892335760435e-12,2.868096039509872687e-04,0.000000000000000000e+00
6.812920690579594235e-12,2.868131413717501014e-04,0.000000000000000000e+00
1.308177474260195532e-11,2.868356163279680324e-04,0.000000000000000000e+00
2.511886431509582315e-11,2.868394269159816744e-04,0.000000000000000000e+00
4.823178482239309168e-11,2.868785407164021139e-04,0.000000000000000000e+00
9.261187281287936942e-11,2.874653859963327562e-04,0.000000000000000000e+00
1.778279410038922873e-10,2.875249069113247863e-04,0.000000000000000000e+00
3.414548873833600905e-10,2.877255059332544523e-04,0.000000000000000000e+00
6.556418494179785494e-10,2.882518831136405939e-04,0.000000000000000000e+00
1.258925411794166266e-09,2.898058393514549519e-04,0.000000000000000000e+00
2.417315480804101249e-09,2.939028148061101895e-04,0.000000000000000000e+00
4.641588833612772800e-09,3.029409418642226514e-04,0.000000000000000000e+00
8.912509381337441445e-09,3.170739467286360432e-04,0.000000000000000000e+00
1.711328304161780911e-08,3.394699570598199703e-04,0.000000000000000000e+00
3.285993247600653884e-08,3.740671746598256192e-04,0.000000000000000000e+00
6.309573444801929638e-08,4.556100651414712746e-04,0.000000000000000000e+00
1.211527658628587727e-07,7.044165710448614887e-04,0.000000000000000000e+00
2.326305067153623854e-07,1.516651751379939324e-03,0.000000000000000000e+00
4.466835921509625864e-07,4.038695995005884241e-03,0.000000000000000000e+00
8.576958985908945317e-07,1.096366726883745910e-02,0.000000000000000000e+00
1.646897865482868967e-06,2.667221206312401713e-02,0.000000000000000000e+00
3.162277660168379191e-06,5.633906544265874367e-02,0.000000000000000000e+00
6.072021956909883719e-06,1.014848281273046104e-01,0.000000000000000000e+00
1.165914401179831032e-05,1.600866581028866087e-01,0.000000000000000000e+00
2.238721138568337924e-05,2.315782444769007575e-01,0.000000000000000000e+00
4.298662347082272397e-05,3.267144274608743126e-01,0.000000000000000000e+00
8.254041852680173586e-05,4.613695960763332660e-01,0.000000000000000000e+00
1.584893192461110938e-04,6.015533504109830121e-01,0.000000000000000000e+00
3.043219887107715955e-04,7.241456058007015306e-01,0.000000000000000000e+00
5.843414133735163468e-04,8.155190548930992822e-01,0.000000000000000000e+00
1.122018454301960651e-03,8.749654400450117553e-01,0.000000000000000000e+00
2.154434690031877767e-03,9.101474972109635520e-01,0.000000000000000000e+00
4.136820402388511654e-03,9.298017032866897624e-01,0.000000000000000000e+00
7.943282347242820729e-03,9.404403586311338437e-01,0.000000000000000000e+00
1.525222956539019729e-02,9.460898336468157588e-01,0.000000000000000000e+00
2.928644564625237229e-02,9.490630823439080155e-01,0.000000000000000000e+00
5.623413251903490451e-02,9.506214174670433170e-01,0.000000000000000000e+00
1.079775162327709370e-01,9.514341321230085358e-01,0.000000000000000000e+00
2.073321573485953917e-01,9.518574217386597258e-01,0.000000000000000000e+00
3.981071705534969252e-01,9.520789670217367773e-01,0.000000000000000000e+00
7.644222742525994541e-01,9.521936420832483039e-01,0.000000000000000000e+00
1.467799267622067472e+00,9.522533361416178899e-01,0.000000000000000000e+00
2.818382931264449276e+00,9.522842910031905639e-01,0.000000000000000000e+00
5.411695265464626203e+00,9.523010236129508810e-01,0.000000000000000000e+00
1.039122303835166861e+01,9.523093358516735440e-01,0.000000000000000000e+00
1.995262314968874762e+01,9.523139455610386550e-01,0.000000000000000000e+00
3.831186849557277441e+01,9.523163560900739233e-01,0.000000000000000000e+00
7.356422544596421176e+01,9.523175569202511070e-01,0.000000000000000000e+00
1.412537544622749692e+02,9.523183770815524252e-01,0.000000000000000000e+00
2.712272579332029636e+02,9.523184480617448155e-01,0.000000000000000000e+00
5.207948328595443854e+02,9.523186711859314979e-01,0.000000000000000000e+00
1.000000000000000000e+03,9.523187628919030923e-01,0.000000000000000000e+00
