# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,5.124924929936734538e-08,0.000000000000000000e+00
1.920141938638801224e-14,5.124335943664519608e-08,0.000000000000000000e+00
3.686945064519573717e-14,5.123206181703169674e-08,0.000000000000000000e+00
7.079457843841372988e-14,5.121041210920398638e-08,0.000000000000000000e+00
1.359356390878524054e-13,5.116900129578398802e-08,0.000000000000000000e+00
2.610157215682533043e-13,5.109007516736883693e-08,0.000000000000000000e+00
5.011872336272714655e-13,5.094069382216667787e-08,0.000000000000000000e+00
9.623506263980907267e-13,5.066180063072644434e-08,0.000000000000000000e+00
1.847849797422287039e-12,3.320826943637977242e-08,0.000000000000000000e+00
3.548133892335760435e-12,3.528100845134693156e-08,0.000000000000000000e+00
6.812920690579594235e-12,3.819775417655457144e-08,0.000000000000000000e+00
1.308177474260195532e-11,3.291421915189982773e-08,0.000000000000000000e+00
2.511886431509582315e-11,4.676011953502078883e-08,0.000000000000000000e+00
4.823178482239309168e-11,2.244050778484317343e-07,0.000000000000000000e+00
9.261187281287936942e-11,3.286685261534121632e-07,0.000000000000000000e+00
1.778279410038922873e-10,3.857036440811146309e-07,0.000000000000000000e+00
3.414548873833600905e-10,5.574309457312089964e-07,0.000000000000000000e+00
6.556418494179785494e-10,1.029457517278885599e-06,0.000000000000000000e+00
1.258925411794166266e-09,2.473004398338051638e-06,0.000000000000000000e+00
2.417315480804101249e-09,6.393105015523450182e-06,0.000000000000000000e+00
4.641588833612772800e-09,1.478885889114143760e-05,0.000000000000000000e+00
8.912509381337441445e-09,2.898530338284560390e-05,0.000000000000000000e+00
1.711328304161780911e-08,4.924739298343921805e-05,0.000000000000000000e+00
3.285993247600653884e-08,8.319714951443049589e-05,0.000000000000000000e+00
6.309573444801929638e-08,1.631495851726318059e-04,0.000000000000000000e+00
1.211527658628587727e-07,4.074165497830974829e-04,0.000000000000000000e+00
2.326305067153623854e-07,1.205632330310196397e-03,0.000000000000000000e+00
4.466835921509625864e-07,3.684864724381238521e-03,0.000000000000000000e+00
8.576958985908945317e-07,1.049414401456287907e-02,0.000000000000000000e+00
1.646897865482868967e-06,2.594917499562696475e-02,0.000000000000000000e+00
3.162277660168379191e-06,5.528782618725104625e-02,0.000000000000000000e+00
6.072021956909883719e-06,1.000439691192284153e-01,0.000000000000000000e+00
1.165914401179831032e-05,1.585949662144933991e-01,0.000000000000000000e+00
2.238721138568337924e-05,2.308591635539188336e-01,0.000000000000000000e+00
4.298662347082272397e-05,3.285006453296988593e-01,0.000000000000000000e+00
8.254041852680173586e-05,4.680652588858016383e-01,0.000000000000000000e+00
1.584893192461110938e-04,6.130081583088612396e-01,0.000000000000000000e+00
3.043219887107715955e-04,7.405169063415040220e-01,0.000000000000000000e+00
5.843414133735163468e-04,8.358747948535639738e-01,0.000000000000000000e+00
1.122018454301960651e-03,8.980238675805531923e-01,0.000000000000000000e+00
2.154434690031877767e-03,9.348386295066021257e-01,0.000000000000000000e+00
4.136820402388511654e-03,9.554144776786611670e-01,0.000000000000000000e+00
7.943282347242820729e-03,9.665548619765335081e-01,0.000000000000000000e+00
1.525222956539019729e-02,9.724714632019180183e-01,0.000000000000000000e+00
2.928644564625237229e-02,9.755855002945232890e-01,0.000000000000000000e+00
5.623413251903490451e-02,9.772176913195189663e-01,0.000000000000000000e+00
1.079775162327709370e-01,9.780689292949864555e-01,0.000000000000000000e+00
2.073321573485953917e-01,9.785122830776032954e-01,0.000000000000000000e+00
3.981071705534969252e-01,9.787438258363455601e-01,0.000000000000000000e+00
7.644222742525994541e-01,9.788644473330627704e-01,0.000000000000000000e+00
1.467799267622067472e+00,9.789269702427686459e-01,0.000000000000000000e+00
2.818382931264449276e+00,9.789604793934764126e-01,0.000000000000000000e+00
5.411695265464626203e+00,9.789770759554088375e-01,0.000000000000000000e+00
1.039122303835166861e+01,9.789860790764969289e-01,0.000000000000000000e+00
1.995262314968874762e+01,9.789905772194762434e-01,0.000000000000000000e+00
3.831186849557277441e+01,9.789930537307561798e-01,0.000000000000000000e+00
7.356422544596421176e+01,9.789943165658731017e-01,0.000000000000000000e+00
1.412537544622749692e+02,9.789948897493211399e-01,0.000000000000000000e+00
2.712272579332029636e+02,9.789950778725436953e-01,0.000000000000000000e+00
5.207948328595443854e+02,9.789954107616103407e-01,0.000000000000000000e+00
1.000000000000000000e+03,9.789955034926439703e-01,0.000000000000000000e+00
