# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,4.964798543046815499e-04,0.000000000000000000e+00
1.920141938638801224e-14,4.964798543947274677e-04,0.000000000000000000e+00
3.686945064519573717e-14,4.964798546132163232e-04,0.000000000000000000e+00
7.079457843841372988e-14,4.964798550137294961e-04,0.000000000000000000e+00
1.359356390878524054e-13,4.964798554789322423e-04,0.000000000000000000e+00
2.610157215682533043e-13,4.964798565427533655e-04,0.000000000000000000e+00
5.011872336272714655e-13,4.964798585361467715e-04,0.000000000000000000e+00
9.623506263980907267e-13,4.964798627393412047e-04,0.000000000000000000e+00
1.847849797422287039e-12,4.964798715066985960e-04,0.000000000000000000e+00
3.548133892335760435e-12,4.964798889389980150e-04,0.000000000000000000e+00
6.812920690579594235e-12,4.964799080731574412e-04,0.000000000000000000e+00
1.308177474260195532e-11,4.964799479679614814e-04,0.000000000000000000e+00
2.511886431509582315e-11,4.964800496619244108e-04,0.000000000000000000e+00
4.823178482239309168e-11,4.964803961404192856e-04,0.000000000000000000e+00
9.261187281287936942e-11,4.964812927094374231e-04,0.000000000000000000e+00
1.778279410038922873e-10,4.964836277321725945e-04,0.000000000000000000e+00
3.414548873833600905e-10,4.964887234076773015e-04,0.000000000000000000e+00
6.556418494179785494e-10,4.964990720847054645e-04,0.000000000000000000e+00
1.258925411794166266e-09,4.965204134468872640e-04,0.000000000000000000e+00
2.417315480804101249e-09,4.965643416816297243e-04,0.000000000000000000e+00
4.641588833612772800e-09,4.966637797829284934e-04,0.000000000000000000e+00
8.912509381337441445e-09,4.968771724013756799e-04,0.000000000000000000e+00
1.711328304161780911e-08,4.973010412784050795e-04,0.000000000000000000e+00
3.285993247600653884e-08,4.979515106848036391e-04,0.000000000000000000e+00
6.309573444801929638e-08,4.986724038521263540e-04,0.000000000000000000e+00
1.211527658628587727e-07,4.991873317905376473e-04,0.000000000000000000e+00
2.326305067153623854e-07,4.994629669313009742e-04,0.000000000000000000e+00
4.466835921509625864e-07,4.996504640920935601e-04,0.000000000000000000e+00
8.576958985908945317e-07,4.999029169429460365e-04,0.000000000000000000e+00
1.646897865482868967e-06,5.005269560222892723e-04,0.000000000000000000e+00
3.162277660168379191e-06,5.025153888418688961e-04,0.000000000000000000e+00
6.072021956909883719e-06,5.091297418368663334e-04,0.000000000000000000e+00
1.165914401179831032e-05,5.301536228694406000e-04,0.000000000000000000e+00
2.238721138568337924e-05,5.904874995807253123e-04,0.000000000000000000e+00
4.298662347082272397e-05,7.392754497588940399e-04,0.000000000000000000e+00
8.254041852680173586e-05,1.048118499588083802e-03,0.000000000000000000e+00
1.584893192461110938e-04,1.630167485500042370e-03,0.000000000000000000e+00
3.043219887107715955e-04,2.852434839576094890e-03,0.000000000000000000e+00
5.843414133735163468e-04,6.055951717053011975e-03,0.000000000000000000e+00
1.122018454301960651e-03,1.519182766398643677e-02,0.000000000000000000e+00
2.154434690031877767e-03,3.921025940194974163e-02,0.000000000000000000e+00
4.136820402388511654e-03,9.179263518626054608e-02,0.000000000000000000e+00
7.943282347242820729e-03,1.829393144767667012e-01,0.000000000000000000e+00
1.525222956539019729e-02,3.112713580332417962e-01,0.000000000000000000e+00
2.928644564625237229e-02,4.747022811927087416e-01,0.000000000000000000e+00
5.623413251903490451e-02,6.750346335494762373e-01,0.000000000000000000e+00
1.079775162327709370e-01,8.929540670243977241e-01,0.000000000000000000e+00
2.073321573485953917e-01,1.086507316869656403e+00,0.000000000000000000e+00
3.981071705534969252e-01,1.227800064854331463e+00,0.000000000000000000e+00
7.644222742525994541e-01,1.317300910494932253e+00,0.000000000000000000e+00
1.467799267622067472e+00,1.369228211825235908e+00,0.000000000000000000e+00
2.818382931264449276e+00,1.397885491214912568e+00,0.000000000000000000e+00
5.411695265464626203e+00,1.413274791074742298e+00,0.000000000000000000e+00
1.039122303835166861e+01,1.421419546625812158e+00,0.000000000000000000e+00
1.995262314968874762e+01,1.425697164065542033e+00,0.000000000000000000e+00
3.831186849557277441e+01,1.427934738548118920e+00,0.000000000000000000e+00
7.356422544596421176e+01,1.429102729444807096e+00,0.000000000000000000e+00
1.412537544622749692e+02,1.429711739942635118e+00,0.000000000000000000e+00
2.712272579332029636e+02,1.430029106852151788e+00,0.000000000000000000e+00
5.207948328595443854e+02,1.430194443469953614e+00,0.000000000000000000e+00
1.000000000000000000e+03,1.430280564460966186e+00,0.000000000000000000e+00
