# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,2.869211739716167752e-04,0.000000000000000000e+00
1.920141938638801224e-14,2.869211739245990469e-04,0.000000000000000000e+00
3.686945064519573717e-14,2.869211738343174778e-04,0.000000000000000000e+00
7.079457843841372988e-14,2.869211736609581041e-04,0.000000000000000000e+00
1.359356390878524054e-13,2.869211733280849436e-04,0.000000000000000000e+00
2.610157215682533043e-13,2.869211726889280847e-04,0.000000000000000000e+00
5.011872336272714655e-13,2.869211714616622371e-04,0.000000000000000000e+00
9.623506263980907267e-13,2.869211691051683851e-04,0.000000000000000000e+00
1.847849797422287039e-12,2.869211645804876790e-04,0.000000000000000000e+00
3.548133892335760435e-12,2.869211558929284350e-04,0.000000000000000000e+00
6.812920690579594235e-12,2.869211702616015700e-04,0.000000000000000000e+00
1.308177474260195532e-11,2.869211380978257497e-04,0.000000000000000000e+00
2.511886431509582315e-11,2.869211333640886387e-04,0.000000000000000000e+00
4.823178482239309168e-11,2.868544603956894694e-04,0.000000000000000000e+00
9.261187281287936942e-11,2.868544553622069410e-04,0.000000000000000000e+00
1.778279410038922873e-10,2.868607022327793058e-04,0.000000000000000000e+00
3.414548873833600905e-10,2.868480714193996661e-04,0.000000000000000000e+00
6.556418494179785494e-10,2.868651515907816199e-04,0.000000000000000000e+00
1.258925411794166266e-09,2.868669870689243050e-04,0.000000000000000000e+00
2.417315480804101249e-09,2.869644725259028043e-04,0.000000000000000000e+00
4.641588833612772800e-09,2.868612512002976676e-04,0.000000000000000000e+00
8.912509381337441445e-09,2.868570025233457984e-04,0.000000000000000000e+00
1.711328304161780911e-08,2.868598906396969614e-04,0.000000000000000000e+00
3.285993247600653884e-08,2.868762319491351197e-04,0.000000000000000000e+00
6.309573444801929638e-08,2.869036726943478984e-04,0.000000000000000000e+00
1.211527658628587727e-07,2.869161577608681326e-04,0.000000000000000000e+00
2.326305067153623854e-07,2.871890310073077555e-04,0.000000000000000000e+00
4.466835921509625864e-07,2.875025270538927435e-04,0.000000000000000000e+00
8.576958985908945317e-07,2.885109937431668166e-04,0.000000000000000000e+00
1.646897865482868967e-06,2.915159414177816242e-04,0.000000000000000000e+00
3.162277660168379191e-06,2.998064958199730327e-04,0.000000000000000000e+00
6.072021956909883719e-06,3.189066380287043992e-04,0.000000000000000000e+00
1.165914401179831032e-05,3.542256501774344651e-04,0.000000000000000000e+00
2.238721138568337924e-05,4.060668304358789281e-04,0.000000000000000000e+00
4.298662347082272397e-05,4.761414762151131540e-04,0.000000000000000000e+00
8.254041852680173586e-05,5.946567407484515573e-04,0.000000000000000000e+00
1.584893192461110938e-04,9.036657672298201507e-04,0.000000000000000000e+00
3.043219887107715955e-04,1.877842629993387111e-03,0.000000000000000000e+00
5.843414133735163468e-04,4.944117274717624994e-03,0.000000000000000000e+00
1.122018454301960651e-03,1.368701351699309031e-02,0.000000000000000000e+00
2.154434690031877767e-03,3.476259516628161378e-02,0.000000000000000000e+00
4.136820402388511654e-03,7.501698992714607439e-02,0.000000000000000000e+00
7.943282347242820729e-03,1.353699700477807577e-01,0.000000000000000000e+00
1.525222956539019729e-02,2.052918588820333012e-01,0.000000000000000000e+00
2.928644564625237229e-02,2.808923457008148383e-01,0.000000000000000000e+00
5.623413251903490451e-02,3.701690446452088334e-01,0.000000000000000000e+00
1.079775162327709370e-01,4.844464439255509181e-01,0.000000000000000000e+00
2.073321573485953917e-01,6.044228855114434085e-01,0.000000000000000000e+00
3.981071705534969252e-01,7.078519067310472535e-01,0.000000000000000000e+00
7.644222742525994541e-01,7.797803283702008370e-01,0.000000000000000000e+00
1.467799267622067472e+00,8.241072210414042143e-01,0.000000000000000000e+00
2.818382931264449276e+00,8.466560104696165823e-01,0.000000000000000000e+00
5.411695265464626203e+00,8.603938716957592048e-01,0.000000000000000000e+00
1.039122303835166861e+01,8.705922055323060960e-01,0.000000000000000000e+00
1.995262314968874762e+01,8.745171533748750115e-01,0.000000000000000000e+00
3.831186849557277441e+01,8.765745224422971660e-01,0.000000000000000000e+00
7.356422544596421176e+01,8.776177171975613200e-01,0.000000000000000000e+00
1.412537544622749692e+02,8.781782629835369614e-01,0.000000000000000000e+00
2.712272579332029636e+02,8.784786497427373719e-01,0.000000000000000000e+00
5.207948328595443854e+02,8.786305774701124172e-01,0.000000000000000000e+00
1.000000000000000000e+03,8.787076406658970162e-01,0.000000000000000000e+00
