# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,4.183086885446376610e-06,0.000000000000000000e+00
1.920141938638801224e-14,4.183086885225246801e-06,0.000000000000000000e+00
3.686945064519573717e-14,4.183086884800555492e-06,0.000000000000000000e+00
7.079457843841372988e-14,4.183086883985466699e-06,0.000000000000000000e+00
1.359356390878524054e-13,4.183086882420117625e-06,0.000000000000000000e+00
2.610157215682533043e-13,4.183086879414103574e-06,0.000000000000000000e+00
5.011872336272714655e-13,4.183086873642914045e-06,0.000000000000000000e+00
9.623506263980907267e-13,4.183086862560737304e-06,0.000000000000000000e+00
1.847849797422287039e-12,4.183086841283301009e-06,0.000000000000000000e+00
3.548133892335760435e-12,4.183086800426840440e-06,0.000000000000000000e+00
6.812920690579594235e-12,4.183086721980667881e-06,0.000000000000000000e+00
1.308177474260195532e-11,4.183086571369725130e-06,0.000000000000000000e+00
2.511886431509582315e-11,4.183086282229987892e-06,0.000000000000000000e+00
4.823178482239309168e-11,4.031019084339592674e-06,0.000000000000000000e+00
9.261187281287936942e-11,4.024855339669275549e-06,0.000000000000000000e+00
1.778279410038922873e-10,4.006443647057208521e-06,0.000000000000000000e+00
3.414548873833600905e-10,4.001471294221986146e-06,0.000000000000000000e+00
6.556418494179785494e-10,4.007517105944334866e-06,0.000000000000000000e+00
1.258925411794166266e-09,4.016907296451476846e-06,0.000000000000000000e+00
2.417315480804101249e-09,4.014120276522159915e-06,0.000000000000000000e+00
4.641588833612772800e-09,4.023006663934177803e-06,0.000000000000000000e+00
8.912509381337441445e-09,4.044299843359801739e-06,0.000000000000000000e+00
1.711328304161780911e-08,4.062683951213361663e-06,0.000000000000000000e+00
3.285993247600653884e-08,4.004220783260429842e-06,0.000000000000000000e+00
6.309573444801929638e-08,4.012930709837456028e-06,0.000000000000000000e+00
1.211527658628587727e-07,4.040778543072672156e-06,0.000000000000000000e+00
2.326305067153623854e-07,4.123332835757432715e-06,0.000000000000000000e+00
4.466835921509625864e-07,4.403107812765992431e-06,0.000000000000000000e+00
8.576958985908945317e-07,5.302700456996539374e-06,0.000000000000000000e+00
1.646897865482868967e-06,8.396770383348965339e-06,0.000000000000000000e+00
3.162277660168379191e-06,1.583374229685457051e-05,0.000000000000000000e+00
6.072021956909883719e-06,3.328466604189935581e-05,0.000000000000000000e+00
1.165914401179831032e-05,6.729811385241601192e-05,0.000000000000000000e+00
2.238721138568337924e-05,1.162832651359192260e-04,0.000000000000000000e+00
4.298662347082272397e-05,1.828339713618836718e-04,0.000000000000000000e+00
8.254041852680173586e-05,2.982424610526623518e-04,0.000000000000000000e+00
1.584893192461110938e-04,6.008753258257926253e-04,0.000000000000000000e+00
3.043219887107715955e-04,1.561504909837073537e-03,0.000000000000000000e+00
5.843414133735163468e-04,4.586125905514761188e-03,0.000000000000000000e+00
1.122018454301960651e-03,1.321946945794113398e-02,0.000000000000000000e+00
2.154434690031877767e-03,3.405297129655651678e-02,0.000000000000000000e+00
4.136820402388511654e-03,7.541948971842921123e-02,0.000000000000000000e+00
7.943282347242820729e-03,1.357443843890521473e-01,0.000000000000000000e+00
1.525222956539019729e-02,2.062220802570610689e-01,0.000000000000000000e+00
2.928644564625237229e-02,2.825584524644398354e-01,0.000000000000000000e+00
5.623413251903490451e-02,3.746893328911461984e-01,0.000000000000000000e+00
1.079775162327709370e-01,4.897402155115435085e-01,0.000000000000000000e+00
2.073321573485953917e-01,6.124925939642476003e-01,0.000000000000000000e+00
3.981071705534969252e-01,7.168040255154153328e-01,0.000000000000000000e+00
7.644222742525994541e-01,7.899702620994051294e-01,0.000000000000000000e+00
1.467799267622067472e+00,8.350844770092611391e-01,0.000000000000000000e+00
2.818382931264449276e+00,8.608454347573744059e-01,0.000000000000000000e+00
5.411695265464626203e+00,8.749363133933644177e-01,0.000000000000000000e+00
1.039122303835166861e+01,8.824672534963530213e-01,0.000000000000000000e+00
1.995262314968874762e+01,8.864430651113329729e-01,0.000000000000000000e+00
3.831186849557277441e+01,8.885283182961021264e-01,0.000000000000000000e+00
7.356422544596421176e+01,8.896155596357061546e-01,0.000000000000000000e+00
1.412537544622749692e+02,8.901876320906330076e-01,0.000000000000000000e+00
2.712272579332029636e+02,8.904835064433366254e-01,0.000000000000000000e+00
5.207948328595443854e+02,8.906377501390017049e-01,0.000000000000000000e+00
1.000000000000000000e+03,8.907184468870924521e-01,0.000000000000000000e+00
