# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,4.023967633310881331e-08,0.000000000000000000e+00
1.920141938638801224e-14,4.023967424322226526e-08,0.000000000000000000e+00
3.686945064519573717e-14,4.023967023117865985e-08,0.000000000000000000e+00
7.079457843841372988e-14,4.023966252726089013e-08,0.000000000000000000e+00
1.359356390878524054e-13,4.023964773748570467e-08,0.000000000000000000e+00
2.610157215682533043e-13,4.023961934873354539e-08,0.000000000000000000e+00
5.011872336272714655e-13,4.023956487378757642e-08,0.000000000000000000e+00
9.623506263980907267e-13,4.023946040501736828e-08,0.000000000000000000e+00
1.847849797422287039e-12,4.023926029107854851e-08,0.000000000000000000e+00
3.548133892335760435e-12,4.023887752841450722e-08,0.000000000000000000e+00
6.812920690579594235e-12,4.023814549221618191e-08,0.000000000000000000e+00
1.308177474260195532e-11,4.023676335658995744e-08,0.000000000000000000e+00
2.511886431509582315e-11,4.023418686974116724e-08,0.000000000000000000e+00
4.823178482239309168e-11,4.022951771144488124e-08,0.000000000000000000e+00
9.261187281287936942e-11,4.022153575474641978e-08,0.000000000000000000e+00
1.778279410038922873e-10,4.020952974265015835e-08,0.000000000000000000e+00
3.414548873833600905e-10,4.019681384787561517e-08,0.000000000000000000e+00
6.556418494179785494e-10,4.019951640851986172e-08,0.000000000000000000e+00
1.258925411794166266e-09,4.024849586308349347e-08,0.000000000000000000e+00
2.417315480804101249e-09,4.041758166947013904e-08,0.000000000000000000e+00
4.641588833612772800e-09,4.041569684512510987e-08,0.000000000000000000e+00
8.912509381337441445e-09,4.049902801018942903e-08,0.000000000000000000e+00
1.711328304161780911e-08,4.163468305065061491e-08,0.000000000000000000e+00
3.285993247600653884e-08,4.448710846086866910e-08,0.000000000000000000e+00
6.309573444801929638e-08,5.814260151408912611e-08,0.000000000000000000e+00
1.211527658628587727e-07,9.434752649956874951e-08,0.000000000000000000e+00
2.326305067153623854e-07,1.938590735185121078e-07,0.000000000000000000e+00
4.466835921509625864e-07,4.179534541057590411e-07,0.000000000000000000e+00
8.576958985908945317e-07,8.374516455395568735e-07,0.000000000000000000e+00
1.646897865482868967e-06,1.653457320112621822e-06,0.000000000000000000e+00
3.162277660168379191e-06,3.698992482027074682e-06,0.000000000000000000e+00
6.072021956909883719e-06,9.958487281541666931e-06,0.000000000000000000e+00
1.165914401179831032e-05,2.950219856944284703e-05,0.000000000000000000e+00
2.238721138568337924e-05,8.552093707057913986e-05,0.000000000000000000e+00
4.298662347082272397e-05,2.241859080426130888e-04,0.000000000000000000e+00
8.254041852680173586e-05,5.144126669458186753e-04,0.000000000000000000e+00
1.584893192461110938e-04,1.070048398144348746e-03,0.000000000000000000e+00
3.043219887107715955e-04,2.261361417997410916e-03,0.000000000000000000e+00
5.843414133735163468e-04,5.426738312219323707e-03,0.000000000000000000e+00
1.122018454301960651e-03,1.449620813000159977e-02,0.000000000000000000e+00
2.154434690031877767e-03,3.836871392844646428e-02,0.000000000000000000e+00
4.136820402388511654e-03,9.065288496461279544e-02,0.000000000000000000e+00
7.943282347242820729e-03,1.813207838330252730e-01,0.000000000000000000e+00
1.525222956539019729e-02,3.090886775940196451e-01,0.000000000000000000e+00
2.928644564625237229e-02,4.720399612773764630e-01,0.000000000000000000e+00
5.623413251903490451e-02,6.720828791260801127e-01,0.000000000000000000e+00
1.079775162327709370e-01,8.898919208749105358e-01,0.000000000000000000e+00
2.073321573485953917e-01,1.083437260757228016e+00,0.000000000000000000e+00
3.981071705534969252e-01,1.224755550464504683e+00,0.000000000000000000e+00
7.644222742525994541e-01,1.314282249305396277e+00,0.000000000000000000e+00
1.467799267622067472e+00,1.366227363373514025e+00,0.000000000000000000e+00
2.818382931264449276e+00,1.394895264986090178e+00,0.000000000000000000e+00
5.411695265464626203e+00,1.410290488143750576e+00,0.000000000000000000e+00
1.039122303835166861e+01,1.418438438615187591e+00,0.000000000000000000e+00
1.995262314968874762e+01,1.422717750392677338e+00,0.000000000000000000e+00
3.831186849557277441e+01,1.424956215617528388e+00,0.000000000000000000e+00
7.356422544596421176e+01,1.426124672681841954e+00,0.000000000000000000e+00
1.412537544622749692e+02,1.426733926575554534e+00,0.000000000000000000e+00
2.712272579332029636e+02,1.427051420412198901e+00,0.000000000000000000e+00
5.207948328595443854e+02,1.427216823178850902e+00,0.000000000000000000e+00
1.000000000000000000e+03,1.427302978632323693e+00,0.000000000000000000e+00
