# lambda, SSE(lambda), dSSE
9.999999999999999988e-15,4.267234131620725860e-08,0.000000000000000000e+00
1.920141938638801224e-14,4.266742798954686396e-08,0.000000000000000000e+00
3.686945064519573717e-14,4.265800021061644688e-08,0.000000000000000000e+00
7.079457843841372988e-14,3.398772129658964535e-08,0.000000000000000000e+00
1.359356390878524054e-13,3.394419478611580515e-08,0.000000000000000000e+00
2.610157215682533043e-13,3.386137052938521597e-08,0.000000000000000000e+00
5.011872336272714655e-13,3.370510281971235199e-08,0.000000000000000000e+00
9.623506263980907267e-13,3.416119462173701920e-08,0.000000000000000000e+00
1.847849797422287039e-12,3.125405734426738762e-08,0.000000000000000000e+00
3.548133892335760435e-12,5.082208918381558138e-08,0.000000000000000000e+00
6.812920690579594235e-12,3.340521149285840708e-08,0.000000000000000000e+00
1.308177474260195532e-11,3.182656753362722503e-08,0.000000000000000000e+00
2.511886431509582315e-11,3.371259132958385250e-08,0.000000000000000000e+00
4.823178482239309168e-11,1.824157536137504529e-07,0.000000000000000000e+00
9.261187281287936942e-11,1.307576363324585939e-07,0.000000000000000000e+00
1.778279410038922873e-10,4.552506511906221534e-07,0.000000000000000000e+00
3.414548873833600905e-10,8.257328872687076104e-07,0.000000000000000000e+00
6.556418494179785494e-10,1.120814915820094683e-06,0.000000000000000000e+00
1.258925411794166266e-09,3.864917402675810598e-06,0.000000000000000000e+00
2.417315480804101249e-09,9.059730850234123026e-06,0.000000000000000000e+00
4.641588833612772800e-09,2.118418285947418445e-05,0.000000000000000000e+00
8.912509381337441445e-09,4.042220013817570610e-05,0.000000000000000000e+00
1.711328304161780911e-08,6.457931656720936942e-05,0.000000000000000000e+00
3.285993247600653884e-08,1.047417420985433069e-04,0.000000000000000000e+00
6.309573444801929638e-08,1.838334900546065406e-04,0.000000000000000000e+00
1.211527658628587727e-07,4.108381936537545032e-04,0.000000000000000000e+00
2.326305067153623854e-07,1.138334710039650083e-03,0.000000000000000000e+00
4.466835921509625864e-07,3.405066809424616304e-03,0.000000000000000000e+00
8.576958985908945317e-07,9.737753835425242907e-03,0.000000000000000000e+00
1.646897865482868967e-06,2.432343397299296592e-02,0.000000000000000000e+00
3.162277660168379191e-06,5.136302980075729135e-02,0.000000000000000000e+00
6.072021956909883719e-06,9.212413070937297555e-02,0.000000000000000000e+00
1.165914401179831032e-05,1.446116473129192004e-01,0.000000000000000000e+00
2.238721138568337924e-05,2.117104125922970592e-01,0.000000000000000000e+00
4.298662347082272397e-05,3.019461056108535546e-01,0.000000000000000000e+00
8.254041852680173586e-05,4.221993643642917293e-01,0.000000000000000000e+00
1.584893192461110938e-04,5.571985508082133443e-01,0.000000000000000000e+00
3.043219887107715955e-04,6.798821566827928375e-01,0.000000000000000000e+00
5.843414133735163468e-04,7.719531385151650049e-01,0.000000000000000000e+00
1.122018454301960651e-03,8.316083494476361748e-01,0.000000000000000000e+00
2.154434690031877767e-03,8.667469416324458109e-01,0.000000000000000000e+00
4.136820402388511654e-03,8.863126278580789608e-01,0.000000000000000000e+00
7.943282347242820729e-03,8.968741722822423101e-01,0.000000000000000000e+00
1.525222956539019729e-02,9.024786149866614871e-01,0.000000000000000000e+00
2.928644564625237229e-02,9.054236087337215189e-01,0.000000000000000000e+00
5.623413251903490451e-02,9.069647842705049756e-01,0.000000000000000000e+00
1.079775162327709370e-01,9.077680001143977329e-01,0.000000000000000000e+00
2.073321573485953917e-01,9.081879658913519782e-01,0.000000000000000000e+00
3.981071705534969252e-01,9.084062888920563239e-01,0.000000000000000000e+00
7.644222742525994541e-01,9.085208755129051683e-01,0.000000000000000000e+00
1.467799267622067472e+00,9.085705766188851840e-01,0.000000000000000000e+00
2.818382931264449276e+00,9.086047274478279423e-01,0.000000000000000000e+00
5.411695265464626203e+00,9.086270269475942296e-01,0.000000000000000000e+00
1.039122303835166861e+01,9.086355161105278411e-01,0.000000000000000000e+00
1.995262314968874762e+01,9.086402619001160419e-01,0.000000000000000000e+00
3.831186849557277441e+01,9.086421102443852371e-01,0.000000000000000000e+00
7.356422544596421176e+01,9.086433400534045246e-01,0.000000000000000000e+00
1.412537544622749692e+02,9.086440236975681373e-01,0.000000000000000000e+00
2.712272579332029636e+02,9.086443253397458175e-01,0.000000000000000000e+00
5.207948328595443854e+02,9.086445468311367124e-01,0.000000000000000000e+00
1.000000000000000000e+03,9.086446964668516424e-01,0.000000000000000000e+00
