# omega(Hartree), S(1/Hartree)
1.095444464024046072e-03,5.570470979237347464e-01
2.190888928048092144e-03,5.736635992339919055e-01
3.286333392072138000e-03,5.906385234769642167e-01
4.381777856096184288e-03,6.079744926825637608e-01
5.477222320120230144e-03,6.256739606543476606e-01
6.572666784144275999e-03,6.437392067462227585e-01
7.668111248168322722e-03,6.621723297197099622e-01
8.763555712192368577e-03,6.809752416926641017e-01
9.859000176216414432e-03,7.001496621935558995e-01
1.095444464024046029e-02,7.196971123326696418e-01
1.204988910426450614e-02,7.396189091033540386e-01
1.314533356828855200e-02,7.599161598252124339e-01
1.424077803231259785e-02,7.805897567425627015e-01
1.533622249633664544e-02,8.016403717901665615e-01
1.643166696036068783e-02,8.230684515383416278e-01
1.752711142438473715e-02,8.448742123301388185e-01
1.862255588840878301e-02,8.670576356223504977e-01
1.971800035243282886e-02,8.896184635420411047e-01
2.081344481645687472e-02,9.125561946701182814e-01
2.190888928048092057e-02,9.358700800633779071e-01
2.300433374450496643e-02,9.595591195254322692e-01
2.409977820852901229e-02,9.836220581374176541e-01
2.519522267255305814e-02,1.008057383058058365e+00
2.629066713657710400e-02,1.032863320602934065e+00
2.738611160060114985e-02,1.058037833611819467e+00
2.848155606462519571e-02,1.083578619112730568e+00
2.957700052864924503e-02,1.109483106290217069e+00
3.067244499267329089e-02,1.135748454765654891e+00
3.176788945669733327e-02,1.162371553195955753e+00
3.286333392072137566e-02,1.189349018196421470e+00
3.395877838474542498e-02,1.216677193593491912e+00
3.505422284876947431e-02,1.244352150011610814e+00
3.614966731279351669e-02,1.272369684797939327e+00
3.724511177681756602e-02,1.300725322288217134e+00
3.834055624084160840e-02,1.329414314415800380e+00
3.943600070486565773e-02,1.358431641665376333e+00
4.053144516888970011e-02,1.387772014372020690e+00
4.162688963291374944e-02,1.417429874365472964e+00
4.272233409693779183e-02,1.447399396958476636e+00
4.381777856096184115e-02,1.477674493277605805e+00
4.491322302498588354e-02,1.508248812933896232e+00
4.600866748900993286e-02,1.539115747029699000e+00
4.710411195303397525e-02,1.570268431497793715e+00
4.819955641705802457e-02,1.601699750767729746e+00
4.929500088108207390e-02,1.633402341753342091e+00
5.039044534510611628e-02,1.665368598155450242e+00
5.148588980913015867e-02,1.697590675071976030e+00
5.258133427315420799e-02,1.730060493907951580e+00
5.367677873717825038e-02,1.762769747576613533e+00
5.477222320120229970e-02,1.795709905982288745e+00
5.586766766522634903e-02,1.828872221775456941e+00
5.696311212925039141e-02,1.862247736369192941e+00
5.805855659327444074e-02,1.895827286206342999e+00
5.915400105729849006e-02,1.929601509265838288e+00
6.024944552132253245e-02,1.963560851796015028e+00
6.134488998534658177e-02,1.997695575262996126e+00
6.244033444937061722e-02,2.031995763500831220e+00
6.353577891339466654e-02,2.066451330050937063e+00
6.463122337741870893e-02,2.101052025676970914e+00
6.572666784144275132e-02,2.135787446041771176e+00
6.682211230546680758e-02,2.170647039532441536e+00
6.791755676949084997e-02,2.205620115219719679e+00
6.901300123351489235e-02,2.240695850937428624e+00
7.010844569753894862e-02,2.275863301467858868e+00
7.120389016156299100e-02,2.311111406818958880e+00
7.229933462558703339e-02,2.346429000579125290e+00
7.339477908961108965e-02,2.381804818335417018e+00
7.449022355363513204e-02,2.417227506141316429e+00
7.558566801765917442e-02,2.452685629020041169e+00
7.668111248168321681e-02,2.488167679489745154e+00
7.777655694570725919e-02,2.523662086097079538e+00
7.887200140973131546e-02,2.559157221945932648e+00
7.996744587375535784e-02,2.594641413208292224e+00
8.106289033777940023e-02,2.630102947604618269e+00
8.215833480180345649e-02,2.665530082841387927e+00
8.325377926582749888e-02,2.700911054993825555e+00
8.434922372985154126e-02,2.736234086822312062e+00
8.544466819387558365e-02,2.771487396011090176e+00
8.654011265789963991e-02,2.806659203318889961e+00
8.763555712192368230e-02,2.841737740630719156e+00
8.873100158594772469e-02,2.876711258901444523e+00
8.982644604997176707e-02,2.911568035981516811e+00
9.092189051399580946e-02,2.946296384316029915e+00
9.201733497801986572e-02,2.980884658508723639e+00
9.311277944204390811e-02,3.015321262743271280e+00
9.420822390606795049e-02,3.049594658054195495e+00
9.530366837009200676e-02,3.083693369440676069e+00
9.639911283411604914e-02,3.117605992817167770e+00
9.749455729814009153e-02,3.151321201794472504e+00
9.859000176216414779e-02,3.184827754286647661e+00
9.968544622618819018e-02,3.218114498938292822e+00
1.007808906902122326e-01,3.251170381368485351e+00
1.018763351542362888e-01,3.283984450227149132e+00
1.029717796182603173e-01,3.316545863060854415e+00
1.040672240822843597e-01,3.348843891984945031e+00
1.051626685463084160e-01,3.380867929160018992e+00
1.062581130103324584e-01,3.412607492070367954e+00
1.073535574743565008e-01,3.444052228603448285e+00
1.084490019383805570e-01,3.475191921928922234e+00
1.095444464024045994e-01,3.506016495176930370e+00
1.106398908664286418e-01,3.536516015915299516e+00
1.117353353304526981e-01,3.566680700425913564e+00
1.128307797944767404e-01,3.596500917780731221e+00
1.139262242585007828e-01,3.625967193718444115e+00
1.150216687225248391e-01,3.655070214322965860e+00
1.161171131865488815e-01,3.683800829505460950e+00
1.172125576505729239e-01,3.712150056291581013e+00
1.183080021145969801e-01,3.740109081916165756e+00
1.194034465786210225e-01,3.767669266728010946e+00
1.204988910426450649e-01,3.794822146907045113e+00
1.215943355066691212e-01,3.821559436997297610e+00
1.226897799706931635e-01,3.847873032258315451e+00
1.237852244347171921e-01,3.873755010838806356e+00
1.248806688987412344e-01,3.899197635775754289e+00
1.259761133627652907e-01,3.924193356822839540e+00
1.270715578267893331e-01,3.948734812112075332e+00
1.281670022908133755e-01,3.972814829652515645e+00
1.292624467548374179e-01,3.996426428670388997e+00
1.303578912188614602e-01,4.019562820794587488e+00
1.314533356828855026e-01,4.042217411092087431e+00
1.325487801469095728e-01,4.064383798957690530e+00
1.336442246109336152e-01,4.086055778862532684e+00
1.347396690749576575e-01,4.107227340965781792e+00
1.358351135389816999e-01,4.127892671594318053e+00
1.369305580030057423e-01,4.148046153595059238e+00
1.380260024670297847e-01,4.167682366564009477e+00
1.391214469310538548e-01,4.186796086957679464e+00
1.402168913950778972e-01,4.205382288090506293e+00
1.413123358591019396e-01,4.223436140023615337e+00
1.424077803231259820e-01,4.240953009349196279e+00
1.435032247871500244e-01,4.257928458875258393e+00
1.445986692511740668e-01,4.274358247215278794e+00
1.456941137151981369e-01,4.290238328287188097e+00
1.467895581792221793e-01,4.305564850726264936e+00
1.478850026432462217e-01,4.320334157216414894e+00
1.489804471072702641e-01,4.334542783743984273e+00
1.500758915712943065e-01,4.348187458778586034e+00
1.511713360353183488e-01,4.361265102385058157e+00
1.522667804993423912e-01,4.373772825270677345e+00
1.533622249633664336e-01,4.385707927771756331e+00
1.544576694273904760e-01,4.397067898783589612e+00
1.555531138914145184e-01,4.407850414637547232e+00
1.566485583554385608e-01,4.418053337929005231e+00
1.577440028194626309e-01,4.427674716300340485e+00
1.588394472834866733e-01,4.436712781181583409e+00
1.599348917475107157e-01,4.445165946493384368e+00
1.610303362115347581e-01,4.453032807314652786e+00
1.621257806755588005e-01,4.460312138518873759e+00
1.632212251395828428e-01,4.467002893381825324e+00
1.643166696036069130e-01,4.473104202164050136e+00
1.654121140676309554e-01,4.478615370670644857e+00
1.665075585316549978e-01,4.483535878791829354e+00
1.676030029956790401e-01,4.487865379026362511e+00
1.686984474597030825e-01,4.491603694990692119e+00
1.697938919237271249e-01,4.494750819916787599e+00
1.708893363877511673e-01,4.497306915139897221e+00
1.719847808517752374e-01,4.499272308579971735e+00
1.730802253157992798e-01,4.500647493217614148e+00
1.741756697798233222e-01,4.501433125567522175e+00
1.752711142438473646e-01,4.501630024150845344e+00
1.763665587078714070e-01,4.501239167968327237e+00
1.774620031718954494e-01,4.500261694976476434e+00
1.785574476359194918e-01,4.498698900567409176e+00
1.796528920999435341e-01,4.496552236054789375e+00
1.807483365639675765e-01,4.493823307166646686e+00
1.818437810279916189e-01,4.490513872547354346e+00
1.829392254920156613e-01,4.486625842266492192e+00
1.840346699560397314e-01,4.482161276342734979e+00
1.851301144200637738e-01,4.477122383274954487e+00
1.862255588840878162e-01,4.471511518588048517e+00
1.873210033481118586e-01,4.465331183391147540e+00
1.884164478121359010e-01,4.458584022949756864e+00
1.895118922761599434e-01,4.451272825271913369e+00
1.906073367401840135e-01,4.443400519709102880e+00
1.917027812042080559e-01,4.434970175572240159e+00
1.927982256682320983e-01,4.425985000762589827e+00
1.938936701322561407e-01,4.416448340418215324e+00
1.949891145962801831e-01,4.406363675575581063e+00
1.960845590603042254e-01,4.395734621846368206e+00
1.971800035243282956e-01,4.384564928109472959e+00
1.982754479883523380e-01,4.372858475217499041e+00
1.993708924523763804e-01,4.360619274717828731e+00
