# omega(Hartree), S(1/Hartree)
1.095444464024046072e-03,3.161781756089423467e+00
2.190888928048092144e-03,3.254524944381491203e+00
3.286333392072138000e-03,3.348133511349236979e+00
4.381777856096184288e-03,3.442528764952689002e+00
5.477222320120230144e-03,3.537629222046263067e+00
6.572666784144275999e-03,3.633350778995822594e+00
7.668111248168322722e-03,3.729606892617085112e+00
8.763555712192368577e-03,3.826308770516896995e+00
9.859000176216414432e-03,3.923365569855644885e+00
1.095444464024046029e-02,4.020684603493768883e+00
1.204988910426450614e-02,4.118171552438442795e+00
1.314533356828855200e-02,4.215730683471085705e+00
1.424077803231259785e-02,4.313265070808713020e+00
1.533622249633664544e-02,4.410676820636769691e+00
1.643166696036068783e-02,4.507867297345076629e+00
1.752711142438473715e-02,4.604737350302929855e+00
1.862255588840878301e-02,4.701187540024866607e+00
1.971800035243282886e-02,4.797118362603283614e+00
2.081344481645687472e-02,4.892430471318910179e+00
2.190888928048092057e-02,4.987024894383871754e+00
2.300433374450496643e-02,5.080803247824503543e+00
2.409977820852901229e-02,5.173667942571005263e+00
2.519522267255305814e-02,5.265522384888122964e+00
2.629066713657710400e-02,5.356271169354322126e+00
2.738611160060114985e-02,5.445820263674652217e+00
2.848155606462519571e-02,5.534077184695500584e+00
2.957700052864924503e-02,5.620951165073939215e+00
3.067244499267329089e-02,5.706353310142771917e+00
3.176788945669733327e-02,5.790196744599861667e+00
3.286333392072137566e-02,5.872396748739505234e+00
3.395877838474542498e-02,5.952870884030486920e+00
3.505422284876947431e-02,6.031539107931507715e+00
3.614966731279351669e-02,6.108323877916868483e+00
3.724511177681756602e-02,6.183150244765050374e+00
3.834055624084160840e-02,6.255945935237373412e+00
3.943600070486565773e-02,6.326641424344416897e+00
4.053144516888970011e-02,6.395169997462158307e+00
4.162688963291374944e-02,6.461467802618942713e+00
4.272233409693779183e-02,6.525473893327182751e+00
4.381777856096184115e-02,6.587130262379925050e+00
4.491322302498588354e-02,6.646381867072275185e+00
4.600866748900993286e-02,6.703176646341329814e+00
4.710411195303397525e-02,6.757465530344751059e+00
4.819955641705802457e-02,6.809202443018874007e+00
4.929500088108207390e-02,6.858344298171378917e+00
5.039044534510611628e-02,6.904850989672035588e+00
5.148588980913015867e-02,6.948685376307717654e+00
5.258133427315420799e-02,6.989813261865300831e+00
5.367677873717825038e-02,7.028203370998946653e+00
5.477222320120229970e-02,7.063827321425905303e+00
5.586766766522634903e-02,7.096659592979513320e+00
5.696311212925039141e-02,7.126677494028391457e+00
