# omega(Hartree), S(1/Hartree)
1.095444464024046072e-03,1.490582028189985753e+00
2.190888928048092144e-03,1.534719458864580721e+00
3.286333392072138000e-03,1.579573230193156652e+00
4.381777856096184288e-03,1.625130608546504263e+00
5.477222320120230144e-03,1.671377863602965030e+00
6.572666784144275999e-03,1.718300276772407154e+00
7.668111248168322722e-03,1.765882151964809355e+00
8.763555712192368577e-03,1.814106828678173633e+00
9.859000176216414432e-03,1.862956697369920311e+00
1.095444464024046029e-02,1.912413217067662652e+00
1.204988910426450614e-02,1.962456935164045069e+00
1.314533356828855200e-02,2.013067509333072547e+00
1.424077803231259785e-02,2.064223731495470560e+00
1.533622249633664544e-02,2.115903553753459843e+00
1.643166696036068783e-02,2.168084116206976386e+00
1.752711142438473715e-02,2.220741776556637959e+00
1.862255588840878301e-02,2.273852141392534332e+00
1.971800035243282886e-02,2.327390099061368289e+00
2.081344481645687472e-02,2.381329854000487689e+00
2.190888928048092057e-02,2.435644962421135595e+00
2.300433374450496643e-02,2.490308369221450047e+00
2.409977820852901229e-02,2.545292446004995490e+00
2.519522267255305814e-02,2.600569030079154409e+00
2.629066713657710400e-02,2.656109464305630219e+00
2.738611160060114985e-02,2.711884637674645049e+00
2.848155606462519571e-02,2.767865026473823598e+00
2.957700052864924503e-02,2.824020735923105985e+00
3.067244499267329089e-02,2.880321542148581937e+00
3.176788945669733327e-02,2.936736934369078789e+00
3.286333392072137566e-02,2.993236157172004752e+00
3.395877838474542498e-02,3.049788252757553941e+00
3.505422284876947431e-02,3.106362103033923461e+00
3.614966731279351669e-02,3.162926471449497345e+00
3.724511177681756602e-02,3.219450044452608850e+00
3.834055624084160840e-02,3.275901472473942810e+00
3.943600070486565773e-02,3.332249410331511008e+00
4.053144516888970011e-02,3.388462556963349748e+00
4.162688963291374944e-02,3.444509694398911304e+00
4.272233409693779183e-02,3.500359725885362039e+00
4.381777856096184115e-02,3.555981713091323382e+00
4.491322302498588354e-02,3.611344912316401867e+00
4.600866748900993286e-02,3.666418809640780818e+00
4.710411195303397525e-02,3.721173154955713436e+00
4.819955641705802457e-02,3.775577994821728733e+00
4.929500088108207390e-02,3.829603704106975925e+00
5.039044534510611628e-02,3.883221016365719258e+00
5.148588980913015867e-02,3.936401052919746846e+00
5.258133427315420799e-02,3.989115350616656119e+00
5.367677873717825038e-02,4.041335888238358542e+00
5.477222320120229970e-02,4.093035111543549931e+00
5.586766766522634903e-02,4.144185956931010217e+00
5.696311212925039141e-02,4.194761873715936673e+00
5.805855659327444074e-02,4.244736845017027527e+00
5.915400105729849006e-02,4.294085407255797904e+00
6.024944552132253245e-02,4.342782668274872471e+00
6.134488998534658177e-02,4.390804324085553212e+00
6.244033444937061722e-02,4.438126674259009086e+00
6.353577891339466654e-02,4.484726635979249032e+00
6.463122337741870893e-02,4.530581756778977898e+00
6.572666784144275132e-02,4.575670225982842787e+00
6.682211230546680758e-02,4.619970884885240103e+00
6.791755676949084997e-02,4.663463235692423048e+00
6.901300123351489235e-02,4.706127449260858242e+00
7.010844569753894862e-02,4.747944371665808738e+00
7.120389016156299100e-02,4.788895529636125303e+00
7.229933462558703339e-02,4.828963134892406472e+00
7.339477908961108965e-02,4.868130087427111619e+00
7.449022355363513204e-02,4.906379977766592404e+00
7.558566801765917442e-02,4.943697088255385452e+00
7.668111248168321681e-02,4.980066393404277036e+00
7.777655694570725919e-02,5.015473559343596399e+00
7.887200140973131546e-02,5.049904942424221943e+00
7.996744587375535784e-02,5.083347587008039348e+00
8.106289033777940023e-02,5.115789222490416677e+00
8.215833480180345649e-02,5.147218259596731293e+00
8.325377926582749888e-02,5.177623785994404315e+00
8.434922372985154126e-02,5.206995561262126593e+00
8.544466819387558365e-02,5.235324011256919263e+00
8.654011265789963991e-02,5.262600221919258914e+00
8.763555712192368230e-02,5.288815932555879229e+00
8.873100158594772469e-02,5.313963528638608658e+00
8.982644604997176707e-02,5.338036034157605414e+00
9.092189051399580946e-02,5.361027103565302099e+00
9.201733497801986572e-02,5.382931013347231897e+00
9.311277944204390811e-02,5.403742653254902883e+00
9.420822390606795049e-02,5.423457517233727820e+00
9.530366837009200676e-02,5.442071694079526623e+00
9.639911283411604914e-02,5.459581857854644227e+00
9.749455729814009153e-02,5.475985258094139496e+00
9.859000176216414779e-02,5.491279709831478506e+00
9.968544622618819018e-02,5.505463583471398081e+00
1.007808906902122326e-01,5.518535794537340777e+00
1.018763351542362888e-01,5.530495793318400466e+00
1.029717796182603173e-01,5.541343554440921082e+00
1.040672240822843597e-01,5.551079566387604913e+00
1.051626685463084160e-01,5.559704820986582696e+00
1.062581130103324584e-01,5.567220802891098330e+00
1.073535574743565008e-01,5.573629479069931669e+00
1.084490019383805570e-01,5.578933288327014850e+00
1.095444464024045994e-01,5.583135130868198459e+00
1.106398908664286418e-01,5.586238357931160969e+00
1.117353353304526981e-01,5.588246761494557013e+00
1.128307797944767404e-01,5.589164564080176589e+00
1.139262242585007828e-01,5.588996408662063153e+00
1.150216687225248391e-01,5.587747348694723115e+00
1.161171131865488815e-01,5.585422838271799861e+00
1.172125576505729239e-01,5.582028722425964595e+00
1.183080021145969801e-01,5.577571227579426250e+00
1.194034465786210225e-01,5.572056952153739751e+00
1.204988910426450649e-01,5.565492857346982625e+00
1.215943355066691212e-01,5.557886258084814735e+00
1.226897799706931635e-01,5.549244814152169525e+00
1.237852244347171921e-01,5.539576521510458207e+00
1.248806688987412344e-01,5.528889703805099920e+00
1.259761133627652907e-01,5.517193004067483919e+00
1.270715578267893331e-01,5.504495376613715685e+00
1.281670022908133755e-01,5.490806079143687235e+00
1.292624467548374179e-01,5.476134665041197280e+00
1.303578912188614602e-01,5.460490975876820308e+00
1.314533356828855026e-01,5.443885134113765289e+00
1.325487801469095728e-01,5.426327536016467334e+00
1.336442246109336152e-01,5.407828844761466414e+00
1.347396690749576575e-01,5.388399983748517919e+00
1.358351135389816999e-01,5.368052130110841702e+00
1.369305580030057423e-01,5.346796708421384103e+00
1.380260024670297847e-01,5.324645384592030517e+00
1.391214469310538548e-01,5.301610059962865051e+00
1.402168913950778972e-01,5.277702865576342717e+00
1.413123358591019396e-01,5.252936156632812548e+00
1.424077803231259820e-01,5.227322507121582973e+00
1.435032247871500244e-01,5.200874704622144407e+00
1.445986692511740668e-01,5.173605745269843403e+00
1.456941137151981369e-01,5.145528828879049499e+00
1.467895581792221793e-01,5.116657354217188924e+00
1.478850026432462217e-01,5.087004914422309731e+00
1.489804471072702641e-01,5.056585292556009747e+00
1.500758915712943065e-01,5.025412457284203605e+00
1.511713360353183488e-01,4.993500558676360335e+00
1.522667804993423912e-01,4.960863924114947920e+00
1.533622249633664336e-01,4.927517054305250888e+00
1.544576694273904760e-01,4.893474619375900225e+00
1.555531138914145184e-01,4.858751455060430047e+00
1.566485583554385608e-01,4.823362558948722345e+00
1.577440028194626309e-01,4.787323086798467742e+00
1.588394472834866733e-01,4.750648348894686457e+00
1.599348917475107157e-01,4.713353806446884064e+00
1.610303362115347581e-01,4.675455068011252102e+00
1.621257806755588005e-01,4.636967885926754462e+00
1.632212251395828428e-01,4.597908152752909317e+00
1.643166696036069130e-01,4.558291897696269857e+00
1.654121140676309554e-01,4.518135283013744008e+00
1.665075585316549978e-01,4.477454600379908278e+00
1.676030029956790401e-01,4.436266267204969083e+00
1.686984474597030825e-01,4.394586822891058731e+00
1.697938919237271249e-01,4.352432925013124176e+00
1.708893363877511673e-01,4.309821345412031768e+00
1.719847808517752374e-01,4.266768966185285450e+00
1.730802253157992798e-01,4.223292775564996049e+00
1.741756697798233222e-01,4.179409863666042391e+00
1.752711142438473646e-01,4.135137418094998907e+00
1.763665587078714070e-01,4.090492719405316890e+00
1.774620031718954494e-01,4.045493136385829303e+00
1.785574476359194918e-01,4.000156121171110080e+00
1.796528920999435341e-01,3.954499204160889736e+00
1.807483365639675765e-01,3.908539988736567050e+00
1.818437810279916189e-01,3.862296145764120503e+00
1.829392254920156613e-01,3.815785407871737700e+00
1.840346699560397314e-01,3.769025563492078401e+00
1.851301144200637738e-01,3.722034450659158722e+00
1.862255588840878162e-01,3.674829950550689617e+00
1.873210033481118586e-01,3.627429980767327145e+00
1.884164478121359010e-01,3.579852488341078054e+00
1.895118922761599434e-01,3.532115442465858290e+00
1.906073367401840135e-01,3.484236826944488552e+00
1.917027812042080559e-01,3.436234632346627738e+00
1.927982256682320983e-01,3.388126847874052494e+00
1.938936701322561407e-01,3.339931452930208877e+00
1.949891145962801831e-01,3.291666408392519116e+00
1.960845590603042254e-01,3.243349647586695639e+00
1.971800035243282956e-01,3.194999066964057111e+00
1.982754479883523380e-01,3.146632516484146436e+00
1.993708924523763804e-01,3.098267789706110165e+00
2.004663369164004227e-01,3.049922613594002296e+00
2.015617813804244651e-01,3.001614638042409133e+00
2.026572258444485075e-01,2.953361425130983875e+00
2.037526703084725777e-01,2.905180438117227926e+00
2.048481147724966200e-01,2.857089030178942224e+00
2.059435592365206347e-01,2.809104432919562910e+00
2.070390037005446771e-01,2.761243744650817344e+00
2.081344481645687194e-01,2.713523918469339158e+00
2.092298926285927896e-01,2.665961750144664855e+00
2.103253370926168320e-01,2.618573865838785153e+00
2.114207815566408744e-01,2.571376709678491412e+00
2.125162260206649167e-01,2.524386531202881923e+00
2.136116704846889591e-01,2.477619372710841095e+00
2.147071149487130015e-01,2.431091056534328221e+00
2.158025594127370717e-01,2.384817172265097707e+00
2.168980038767611140e-01,2.338813063962213779e+00
2.179934483407851564e-01,2.293093817372470422e+00
2.190888928048091988e-01,2.247674247192911423e+00
2.201843372688332134e-01,2.202568884408481864e+00
2.212797817328572836e-01,2.157791963737884178e+00
2.223752261968813260e-01,2.113357411221703508e+00
2.234706706609053961e-01,2.069278831986432365e+00
2.245661151249294107e-01,2.025569498221097220e+00
2.256615595889534809e-01,1.982242337400688337e+00
2.267570040529774955e-01,1.939309920792040565e+00
2.278524485170015657e-01,1.896784452279360655e+00
2.289478929810256080e-01,1.854677757542576133e+00
2.300433374450496782e-01,1.813001273626135612e+00
2.311387819090736928e-01,1.771766038931035903e+00
2.322342263730977630e-01,1.730982683665440724e+00
2.333296708371217776e-01,1.690661420785934288e+00
2.344251153011458477e-01,1.650812037462529913e+00
2.355205597651698901e-01,1.611443887097262273e+00
2.366160042291939603e-01,1.572565881926313303e+00
2.377114486932179749e-01,1.534186486233228841e+00
2.388068931572420450e-01,1.496313710199337788e+00
2.399023376212660597e-01,1.458955104415410320e+00
2.409977820852901298e-01,1.422117755076243162e+00
2.420932265493141722e-01,1.385808279878668170e+00
2.431886710133382423e-01,1.350032824639708640e+00
2.442841154773622570e-01,1.314797060650033211e+00
2.453795599413863271e-01,1.280106182775689883e+00
2.464750044054103417e-01,1.245964908317321651e+00
2.475704488694343841e-01,1.212377476634004525e+00
2.486658933334584543e-01,1.179347649536553355e+00
2.497613377974824689e-01,1.146878712451479654e+00
2.508567822615065390e-01,1.114973476354214954e+00
2.519522267255305814e-01,1.083634280468313671e+00
2.530476711895546238e-01,1.052862995722832817e+00
2.541431156535786662e-01,1.022661028959336527e+00
2.552385601176027086e-01,9.930293278750419450e-01
2.563340045816267510e-01,9.639683866889415809e-01
2.574294490456507933e-01,9.354782525115669101e-01
2.585248935096748357e-01,9.075585323995325471e-01
2.596203379736989336e-01,8.802084010734899655e-01
2.607157824377229205e-01,8.534266092721852770e-01
2.618112269017470184e-01,8.272114927201323908e-01
2.629066713657710053e-01,8.015609816767073070e-01
2.640021158297951032e-01,7.764726110389753577e-01
2.650975602938191455e-01,7.519435309652827693e-01
2.661930047578431879e-01,7.279705179866774456e-01
2.672884492218672303e-01,7.045499865717682608e-01
2.683838936858912727e-01,6.816780011093720448e-01
2.694793381499153151e-01,6.593502882726540726e-01
2.705747826139393575e-01,6.375622497271249411e-01
2.716702270779633999e-01,6.163089751458329379e-01
2.727656715419874978e-01,5.955852554927049125e-01
2.738611160060114846e-01,5.753855965367826730e-01
2.749565604700355270e-01,5.557042325585319631e-01
2.760520049340595694e-01,5.365351402110266621e-01
2.771474493980836118e-01,5.178720524976243578e-01
2.782428938621077097e-01,4.997084728306066537e-01
2.793383383261316966e-01,4.820376891321253576e-01
2.804337827901557945e-01,4.648527879448002831e-01
2.815292272541797813e-01,4.481466685143397632e-01
2.826246717182038792e-01,4.319120568134209859e-01
2.837201161822279216e-01,4.161415194728656508e-01
2.848155606462519640e-01,4.008274775893275188e-01
2.859110051102760064e-01,3.859622203800717188e-01
2.870064495743000488e-01,3.715379186567384084e-01
2.881018940383240912e-01,3.575466380906115460e-01
2.891973385023481335e-01,3.439803522456036378e-01
2.902927829663721759e-01,3.308309553535994096e-01
2.913882274303962738e-01,3.180902748121927637e-01
2.924836718944202607e-01,3.057500833827563325e-01
2.935791163584443586e-01,2.938021110724077789e-01
2.946745608224683455e-01,2.822380566809917779e-01
2.957700052864924434e-01,2.710495989995200805e-01
2.968654497505164858e-01,2.602284076453491579e-01
2.979608942145405281e-01,2.497661535238867025e-01
2.990563386785645705e-01,2.396545189052932401e-01
3.001517831425886129e-01,2.298852071082051196e-01
3.012472276066126553e-01,2.204499517835872280e-01
3.023426720706366977e-01,2.113405257932212677e-01
3.034381165346607401e-01,2.025487496787327923e-01
3.045335609986847825e-01,1.940664997179819828e-01
3.056290054627088248e-01,1.858857155702358654e-01
