# omega(Hartree), S(1/Hartree)
1.095444464024046072e-03,1.024610690268734192e+00
2.190888928048092144e-03,1.055055615945844405e+00
3.286333392072138000e-03,1.086071311094539249e+00
4.381777856096184288e-03,1.117655336677173983e+00
5.477222320120230144e-03,1.149804712844347376e+00
6.572666784144275999e-03,1.182515913027514243e+00
7.668111248168322722e-03,1.215784858899631171e+00
8.763555712192368577e-03,1.249606916225614928e+00
9.859000176216414432e-03,1.283976891621905869e+00
1.095444464024046029e-02,1.318889030241656712e+00
1.204988910426450614e-02,1.354337014399242811e+00
1.314533356828855200e-02,1.390313963145458187e+00
1.424077803231259785e-02,1.426812432801457309e+00
1.533622249633664544e-02,1.463824418457055909e+00
1.643166696036068783e-02,1.501341356435661911e+00
1.752711142438473715e-02,1.539354127725550692e+00
1.862255588840878301e-02,1.577853062374111603e+00
1.971800035243282886e-02,1.616827944838715947e+00
2.081344481645687472e-02,1.656268020285041942e+00
2.190888928048092057e-02,1.696162001820773257e+00
2.300433374450496643e-02,1.736498078649923116e+00
2.409977820852901229e-02,1.777263925130017741e+00
2.519522267255305814e-02,1.818446710711839609e+00
2.629066713657710400e-02,1.860033110739028439e+00
2.738611160060114985e-02,1.902009318081945732e+00
2.848155606462519571e-02,1.944361055578324171e+00
2.957700052864924503e-02,1.987073589250328620e+00
3.067244499267329089e-02,2.030131742266390926e+00
3.176788945669733327e-02,2.073519909613440682e+00
3.286333392072137566e-02,2.117222073443607577e+00
3.395877838474542498e-02,2.161221819057991045e+00
3.505422284876947431e-02,2.205502351488342949e+00
3.614966731279351669e-02,2.250046512636183493e+00
3.724511177681756602e-02,2.294836798927715193e+00
3.834055624084160840e-02,2.339855379442163930e+00
3.943600070486565773e-02,2.385084114469858907e+00
4.053144516888970011e-02,2.430504574456152866e+00
4.162688963291374944e-02,2.476098059286572894e+00
4.272233409693779183e-02,2.521845617868469613e+00
4.381777856096184115e-02,2.567728067964071492e+00
4.491322302498588354e-02,2.613726016230199622e+00
4.600866748900993286e-02,2.659819878419776629e+00
4.710411195303397525e-02,2.705989899700934398e+00
4.819955641705802457e-02,2.752216175049939206e+00
4.929500088108207390e-02,2.798478669674620889e+00
5.039044534510611628e-02,2.844757239426165540e+00
5.148588980913015867e-02,2.891031651157894178e+00
5.258133427315420799e-02,2.937281602990574392e+00
5.367677873717825038e-02,2.983486744445318362e+00
5.477222320120229970e-02,3.029626696406099384e+00
5.586766766522634903e-02,3.075681070875549317e+00
5.696311212925039141e-02,3.121629490488995629e+00
5.805855659327444074e-02,3.167451607753462461e+00
5.915400105729849006e-02,3.213127123979646171e+00
6.024944552132253245e-02,3.258635807877030111e+00
6.134488998534658177e-02,3.303957513783537969e+00
6.244033444937061722e-02,3.349072199503319691e+00
6.353577891339466654e-02,3.393959943727845374e+00
6.463122337741870893e-02,3.438600963017316214e+00
6.572666784144275132e-02,3.482975628321332007e+00
6.682211230546680758e-02,3.527064481019630993e+00
6.791755676949084997e-02,3.570848248465267716e+00
6.901300123351489235e-02,3.614307859015051250e+00
7.010844569753894862e-02,3.657424456533097334e+00
7.120389016156299100e-02,3.700179414355588836e+00
7.229933462558703339e-02,3.742554348707015421e+00
7.339477908961108965e-02,3.784531131558662942e+00
7.449022355363513204e-02,3.826091902923165922e+00
7.558566801765917442e-02,3.867219082579776313e+00
7.668111248168321681e-02,3.907895381226718978e+00
7.777655694570725919e-02,3.948103811058583101e+00
7.887200140973131546e-02,3.987827695768509706e+00
7.996744587375535784e-02,4.027050679975484826e+00
8.106289033777940023e-02,4.065756738079410404e+00
8.215833480180345649e-02,4.103930182547273375e+00
8.325377926582749888e-02,4.141555671635010150e+00
8.434922372985154126e-02,4.178618216551130082e+00
8.544466819387558365e-02,4.215103188068721529e+00
8.654011265789963991e-02,4.250996322594124521e+00
8.763555712192368230e-02,4.286283727700844537e+00
8.873100158594772469e-02,4.320951887138638092e+00
8.982644604997176707e-02,4.354987665328219570e+00
9.092189051399580946e-02,4.388378311352868266e+00
9.201733497801986572e-02,4.421111462458946484e+00
9.311277944204390811e-02,4.453175147077684137e+00
9.420822390606795049e-02,4.484557787381689309e+00
9.530366837009200676e-02,4.515248201389223226e+00
9.639911283411604914e-02,4.545235604630603277e+00
9.749455729814009153e-02,4.574509611390945807e+00
9.859000176216414779e-02,4.603060235543746437e+00
9.968544622618819018e-02,4.630877890990360513e+00
1.007808906902122326e-01,4.657953391720268677e+00
1.018763351542362888e-01,4.684277951507485049e+00
1.029717796182603173e-01,4.709843183258238142e+00
1.040672240822843597e-01,4.734641098025380579e+00
1.051626685463084160e-01,4.758664103705066317e+00
1.062581130103324584e-01,4.781905003430398260e+00
1.073535574743565008e-01,4.804356993678291055e+00
1.084490019383805570e-01,4.826013662103771473e+00
1.095444464024045994e-01,4.846868985117231077e+00
1.106398908664286418e-01,4.866917325219531243e+00
1.117353353304526981e-01,4.886153428109421881e+00
1.128307797944767404e-01,4.904572419577644560e+00
1.139262242585007828e-01,4.922169802202382094e+00
1.150216687225248391e-01,4.938941451859480303e+00
1.161171131865488815e-01,4.954883614061433406e+00
1.172125576505729239e-01,4.969992900138269221e+00
1.183080021145969801e-01,4.984266283273575127e+00
1.194034465786210225e-01,4.997701094408276923e+00
1.204988910426450649e-01,5.010295018024417679e+00
1.215943355066691212e-01,5.022046087821176563e+00
1.226897799706931635e-01,5.032952682294642877e+00
1.237852244347171921e-01,5.043013520232527469e+00
1.248806688987412344e-01,5.052227656134851586e+00
1.259761133627652907e-01,5.060594475571105200e+00
1.270715578267893331e-01,5.068113690483876610e+00
1.281670022908133755e-01,5.074785334448689511e+00
1.292624467548374179e-01,5.080609757899663848e+00
1.303578912188614602e-01,5.085587623329392848e+00
1.314533356828855026e-01,5.089719900472029934e+00
1.325487801469095728e-01,5.093007861477632403e+00
1.336442246109336152e-01,5.095453076085425970e+00
1.347396690749576575e-01,5.097057406803110702e+00
1.358351135389816999e-01,5.097823004099806710e+00
1.369305580030057423e-01,5.097752301618619697e+00
1.380260024670297847e-01,5.096848011415192836e+00
1.391214469310538548e-01,5.095113119228166454e+00
1.402168913950778972e-01,5.092550879786837292e+00
1.413123358591019396e-01,5.089164812161233620e+00
1.424077803231259820e-01,5.084958695159006226e+00
1.435032247871500244e-01,5.079936562773831987e+00
1.445986692511740668e-01,5.074102699688978646e+00
1.456941137151981369e-01,5.067461636839572847e+00
1.467895581792221793e-01,5.060018147038509717e+00
1.478850026432462217e-01,5.051777240663820834e+00
1.489804471072702641e-01,5.042744161418652560e+00
1.500758915712943065e-01,5.032924382157267118e+00
1.511713360353183488e-01,5.022323600784647013e+00
1.522667804993423912e-01,5.010947736229289795e+00
1.533622249633664336e-01,4.998802924490536093e+00
1.544576694273904760e-01,4.985895514761954139e+00
1.555531138914145184e-01,4.972232065630720399e+00
1.566485583554385608e-01,4.957819341354329445e+00
1.577440028194626309e-01,4.942664308213458035e+00
1.588394472834866733e-01,4.926774130942203733e+00
1.599348917475107157e-01,4.910156169233820478e+00
1.610303362115347581e-01,4.892817974322232644e+00
1.621257806755588005e-01,4.874767285637630287e+00
1.632212251395828428e-01,4.856012027535057562e+00
1.643166696036069130e-01,4.836560306094458639e+00
1.654121140676309554e-01,4.816420405990128550e+00
1.665075585316549978e-01,4.795600787427577671e+00
1.676030029956790401e-01,4.774110083145473027e+00
1.686984474597030825e-01,4.751957095479835580e+00
1.697938919237271249e-01,4.729150793487961302e+00
1.708893363877511673e-01,4.705700310128600350e+00
1.719847808517752374e-01,4.681614939495238659e+00
