# omega(Hartree), S(1/Hartree)
1.095444464024046072e-03,6.286434548481835138e-01
2.190888928048092144e-03,6.473836136618901227e-01
3.286333392072138000e-03,6.665192954254739455e-01
4.381777856096184288e-03,6.860527172828070341e-01
5.477222320120230144e-03,7.059858799177470834e-01
6.572666784144275999e-03,7.263205607253595542e-01
7.668111248168322722e-03,7.470583071359196969e-01
8.763555712192368577e-03,7.682004301065524787e-01
9.859000176216414432e-03,7.897479977961920916e-01
1.095444464024046029e-02,8.117018294383699928e-01
1.204988910426450614e-02,8.340624894270720624e-01
1.314533356828855200e-02,8.568302816300885638e-01
1.424077803231259785e-02,8.800052439447536567e-01
1.533622249633664544e-02,9.035871431101247797e-01
1.643166696036068783e-02,9.275754697892213407e-01
1.752711142438473715e-02,9.519694339353340640e-01
1.862255588840878301e-02,9.767679604550735251e-01
1.971800035243282886e-02,1.001969685180902569e+00
2.081344481645687472e-02,1.027572951165098170e+00
2.190888928048092057e-02,1.053575805306830704e+00
2.300433374450496643e-02,1.079975995322877802e+00
2.409977820852901229e-02,1.106770967072479017e+00
2.519522267255305814e-02,1.133957862245351444e+00
2.629066713657710400e-02,1.161533516422087242e+00
2.738611160060114985e-02,1.189494457514403525e+00
2.848155606462519571e-02,1.217836904592334291e+00
2.957700052864924503e-02,1.246556767104870733e+00
3.067244499267329089e-02,1.275649644498970225e+00
3.176788945669733327e-02,1.305110826241597577e+00
3.286333392072137566e-02,1.334935292247966698e+00
3.395877838474542498e-02,1.365117713718668968e+00
3.505422284876947431e-02,1.395652454387060093e+00
3.614966731279351669e-02,1.426533572177438591e+00
3.724511177681756602e-02,1.457754821273381296e+00
3.834055624084160840e-02,1.489309654594934917e+00
3.943600070486565773e-02,1.521191226681963604e+00
4.053144516888970011e-02,1.553392396980244117e+00
4.162688963291374944e-02,1.585905733525666106e+00
4.272233409693779183e-02,1.618723517021288583e+00
4.381777856096184115e-02,1.651837745300578364e+00
4.491322302498588354e-02,1.685240138169533219e+00
4.600866748900993286e-02,1.718922142619475180e+00
4.710411195303397525e-02,1.752874938401188132e+00
4.819955641705802457e-02,1.787089443950514944e+00
4.929500088108207390e-02,1.821556322654505511e+00
5.039044534510611628e-02,1.856265989446351350e+00
5.148588980913015867e-02,1.891208617717075047e+00
5.258133427315420799e-02,1.926374146540549281e+00
5.367677873717825038e-02,1.961752288128444599e+00
5.477222320120229970e-02,1.997332535710502066e+00
5.586766766522634903e-02,2.033104171475698330e+00
5.696311212925039141e-02,2.069056274908598780e+00
5.805855659327444074e-02,2.105177731295126531e+00
5.915400105729849006e-02,2.141457240452051103e+00
6.024944552132253245e-02,2.177883325652970825e+00
6.134488998534658177e-02,2.214444342734799509e+00
6.244033444937061722e-02,2.251128489367045571e+00
6.353577891339466654e-02,2.287923814467388794e+00
