# omega(Hartree), S(1/Hartree)
1.095444464024046072e-03,1.192037614167778425e+00
2.190888928048092144e-03,1.228022984176059929e+00
3.286333392072138000e-03,1.265095055673270963e+00
4.381777856096184288e-03,1.303287852384733325e+00
5.477222320120230144e-03,1.342637028659561693e+00
6.572666784144275999e-03,1.383179986409472484e+00
7.668111248168322722e-03,1.424956001065549316e+00
8.763555712192368577e-03,1.468006357209880708e+00
9.859000176216414432e-03,1.512374494577678252e+00
1.095444464024046029e-02,1.558106165162746803e+00
1.204988910426450614e-02,1.605249602191940905e+00
1.314533356828855200e-02,1.653855701762086294e+00
1.424077803231259785e-02,1.703978217949472018e+00
1.533622249633664544e-02,1.755673972207569156e+00
1.643166696036068783e-02,1.809003077855251496e+00
1.752711142438473715e-02,1.864029180420101905e+00
1.862255588840878301e-02,1.920819714533612776e+00
1.971800035243282886e-02,1.979446177962759235e+00
2.081344481645687472e-02,2.039984423201710140e+00
2.190888928048092057e-02,2.102514966811605213e+00
2.300433374450496643e-02,2.167123316378314790e+00
2.409977820852901229e-02,2.233900314524555952e+00
2.519522267255305814e-02,2.302942498837829532e+00
2.629066713657710400e-02,2.374352475820084685e+00
2.738611160060114985e-02,2.448239305980658198e+00
2.848155606462519571e-02,2.524718895919854766e+00
2.957700052864924503e-02,2.603914391610983703e+00
3.067244499267329089e-02,2.685956564988005280e+00
3.176788945669733327e-02,2.770984183263024647e+00
3.286333392072137566e-02,2.859144346983991003e+00
3.395877838474542498e-02,2.950592778508625447e+00
3.505422284876947431e-02,3.045494037083300132e+00
3.614966731279351669e-02,3.144021629784693239e+00
3.724511177681756602e-02,3.246357978850250792e+00
3.834055624084160840e-02,3.352694194952710927e+00
3.943600070486565773e-02,3.463229592229256415e+00
4.053144516888970011e-02,3.578170863722437200e+00
4.162688963291374944e-02,3.697730814557260715e+00
4.272233409693779183e-02,3.822126523794624031e+00
4.381777856096184115e-02,3.951576773457445846e+00
4.491322302498588354e-02,4.086298543636717184e+00
4.600866748900993286e-02,4.226502324743364625e+00
4.710411195303397525e-02,4.372385940874268684e+00
4.819955641705802457e-02,4.524126511242989146e+00
4.929500088108207390e-02,4.681870099684992681e+00
5.039044534510611628e-02,4.845718516720193492e+00
5.148588980913015867e-02,5.015712647946786618e+00
5.258133427315420799e-02,5.191811593590959006e+00
5.367677873717825038e-02,5.373866829072353468e+00
5.477222320120229970e-02,5.561590555494459132e+00
5.586766766522634903e-02,5.754517433215841749e+00
5.696311212925039141e-02,5.951959027134572366e+00
5.805855659327444074e-02,6.152950603964622012e+00
5.915400105729849006e-02,6.356190496020893477e+00
6.024944552132253245e-02,6.559973190840406865e+00
6.134488998534658177e-02,6.762118739966125780e+00
6.244033444937061722e-02,6.959903116436797710e+00
6.353577891339466654e-02,7.149996843209937225e+00
6.463122337741870893e-02,7.328422496991664481e+00
6.572666784144275132e-02,7.490545260977294006e+00
6.682211230546680758e-02,7.631113898396638895e+00
6.791755676949084997e-02,7.744371229296986847e+00
6.901300123351489235e-02,7.824251842734754270e+00
7.010844569753894862e-02,7.864678567886937977e+00
7.120389016156299100e-02,7.859956715822273843e+00
7.229933462558703339e-02,7.805246138077427176e+00
7.339477908961108965e-02,7.697067940909636086e+00
7.449022355363513204e-02,7.533780451646615361e+00
7.558566801765917442e-02,7.315945369076453986e+00
7.668111248168321681e-02,7.046507649297019782e+00
7.777655694570725919e-02,6.730735760151860703e+00
7.887200140973131546e-02,6.375909867742556969e+00
7.996744587375535784e-02,5.990794221714291545e+00
8.106289033777940023e-02,5.584972106734368502e+00
8.215833480180345649e-02,5.168144445043823865e+00
8.325377926582749888e-02,4.749490762691776169e+00
8.434922372985154126e-02,4.337167099828270089e+00
8.544466819387558365e-02,3.937979510284481233e+00
8.654011265789963991e-02,3.557235698167326987e+00
8.763555712192368230e-02,3.198749864136942289e+00
8.873100158594772469e-02,2.864960776327427627e+00
8.982644604997176707e-02,2.557119687697932964e+00
9.092189051399580946e-02,2.275509588495586488e+00
9.201733497801986572e-02,2.019666374300465250e+00
9.311277944204390811e-02,1.788582506884563772e+00
9.420822390606795049e-02,1.580882560304714968e+00
9.530366837009200676e-02,1.394966750058444172e+00
9.639911283411604914e-02,1.229123025321587237e+00
9.749455729814009153e-02,1.081610892146123604e+00
9.859000176216414779e-02,9.507213164447966269e-01
9.968544622618819018e-02,8.348173051573087866e-01
1.007808906902122326e-01,7.323594680514919908e-01
